30

12,28,7,22,26,11,8,27,1,10,6,20,24,4,21,19,23,30,15,17,18,13,29,5,3,16,2,25,9,14
26,11,1,8,13,10,29,25,27,18,17,19,30,4,23,6,9,5,2,14,16,20,21,24,15,28,12,7,22,3
6,29,1,11,7,19,30,20,17,5,16,22,10,18,25,12,4,2,8,9,27,15,28,23,3,13,26,21,14,24
2,14,8,11,21,9,25,20,1,23,22,30,27,16,7,5,24,17,15,3,10,6,13,12,18,26,29,28,4,19
16,22,8,27,14,19,23,12,26,30,2,18,1,11,29,6,15,7,9,13,5,21,3,28,17,25,20,4,10,24

2,1,22,29,28,25,4,27,6,11,9,16,21,30,26,8,13,12,10,18,5,24,15,14,17,3,7,20,19,23
25,24,15,21,4,8,6,16,17,28,18,7,20,10,11,2,29,19,27,14,3,30,5,26,23,12,1,13,22,9
19,1,7,23,16,18,14,2,15,26,12,4,3,21,24,30,9,6,17,13,22,20,8,11,28,25,29,27,5,10
7,9,10,2,15,19,28,3,25,24,16,20,23,18,6,22,5,13,29,1,30,4,26,21,11,27,12,17,14,8
23,25,14,13,29,21,9,11,4,30,15,20,24,16,7,27,10,28,6,8,17,19,22,5,26,3,1,12,18,2
17,16,11,5,19,24,8,29,23,26,2,6,30,7,12,9,21,28,14,10,25,22,13,1,3,18,20,15,27,4
10,11,5,15,6,25,23,1,20,7,29,8,16,19,24,2,26,21,3,30,17,4,18,22,27,13,14,12,28,9
18,22,23,27,21,8,15,16,24,10,5,2,9,28,14,3,26,4,12,17,13,29,1,25,11,30,20,6,19,7
4,18,17,21,6,13,11,3,16,2,26,10,23,12,27,20,8,28,24,19,29,14,25,22,9,15,5,1,30,7
17,8,14,3,13,16,22,23,30,4,29,7,18,21,15,12,26,19,2,6,27,24,10,20,5,1,11,9,28,25
22,24,16,30,29,10,11,4,1,17,9,5,15,28,2,21,26,18,8,14,20,13,12,23,19,6,3,27,7,25
21,15,18,20,12,23,8,26,30,6,4,2,17,1,10,16,28,9,25,27,3,11,5,14,22,19,13,24,7,29
10,14,12,3,27,16,25,7,9,5,1,8,2,11,23,17,26,28,15,21,19,29,13,18,20,4,22,6,30,24
20,14,26,27,9,22,8,16,1,15,23,2,6,12,30,13,24,11,19,7,25,3,21,28,10,5,17,29,18,4
12,25,7,17,20,11,30,29,14,15,1,6,16,19,23,28,2,26,22,8,4,3,5,21,13,10,9,18,27,24
6,11,26,8,18,30,9,21,28,12,3,10,27,24,13,23,4,7,1,14,19,20,25,16,17,2,5,15,22,29
21,30,2,8,26,23,14,22,3,29,11,12,13,10,25,27,28,5,20,17,9,15,19,7,1,18,4,6,24,16
13,9,25,5,28,30,22,17,11,14,26,3,27,19,12,21,24,7,4,23,16,29,6,15,20,1,18,10,8,2
22,8,30,14,4,26,5,21,9,29,20,11,15,2,27,7,6,10,23,28,18,19,1,12,25,13,3,16,24,17
19,16,26,12,14,22,7,24,23,5,21,13,4,29,2,1,28,10,30,9,6,20,17,25,18,11,3,15,8,27
13,4,23,22,3,2,25,16,21,30,5,15,12,10,8,7,27,24,19,18,11,28,14,20,17,29,26,6,1,9
6,13,18,7,25,29,24,16,12,2,5,4,30,26,1,15,14,11,19,10,3,17,27,21,8,9,28,23,22,20
2,4,14,8,9,17,18,1,13,30,12,15,22,6,26,21,11,29,3,10,24,28,25,20,19,7,5,27,16,23
8,24,28,16,18,30,2,14,3,4,26,27,25,11,22,19,7,9,12,23,21,5,15,17,6,10,29,1,13,20
1,20,13,27,14,19,4,17,16,3,6,23,21,10,8,5,29,7,18,28,9,11,2,24,15,25,22,26,12,30
10,22,23,12,30,4,9,21,7,16,13,14,18,5,8,6,27,26,11,29,19,24,25,28,2,20,15,17,1,3
24,27,9,5,1,23,21,19,28,15,16,30,25,11,8,18,12,29,20,4,7,22,13,2,6,14,3,10,17,26
2,13,20,3,9,12,19,26,25,10,27,23,18,4,5,24,8,29,1,14,11,16,30,17,28,15,7,21,22,6
16,13,19,11,29,26,12,6,27,5,10,22,30,4,3,23,24,2,20,1,9,21,14,18,15,25,28,7,17,8
25,4,14,23,29,9,16,15,5,26,3,8,21,18,28,17,2,7,6,19,13,27,22,1,24,30,11,12,10,20
